               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11949,            0.025407,                   0,           0.0081174,            0.017544,          0.00057796,          0.00011885,             0.11213,            0.022112,                   0,             0.00036,             0.00036,             0.09676
                   1,             0.10344,            0.022439,                   0,           0.0029288,            0.096491,          0.00078331,          0.00014115,             0.10472,            0.019197,                   0,          0.00072984,          0.00072984,             0.09343
                   2,            0.093764,            0.021021,                   0,             0.01383,            0.087719,            0.002943,          0.00054975,             0.09833,            0.017921,                   0,            0.001099,            0.001099,            0.090099
                   3,            0.083935,            0.020376,                   0,             0.25823,            0.085549,             0.05554,            0.012317,            0.090196,            0.017483,                   0,           0.0014671,           0.0014671,            0.086767
                   4,            0.073862,            0.020079,                   0,             0.33714,             0.18421,             0.13525,            0.049114,            0.082387,            0.017325,                   0,           0.0018335,           0.0018335,            0.083433
                   5,             0.06767,            0.019161,                   0,              0.3076,             0.18421,             0.10384,            0.032499,            0.077617,            0.017109,                   0,           0.0021978,           0.0021978,            0.080098
                   6,            0.066354,            0.018578,                   0,             0.20104,             0.18421,            0.091243,            0.030811,            0.071699,            0.017325,                   0,           0.0025594,           0.0025594,            0.076759
                   7,            0.060633,            0.018466,                   0,             0.24493,             0.17544,             0.13269,            0.036903,            0.073088,            0.016508,                   0,            0.002918,            0.002918,            0.073418
                   8,            0.058548,            0.016781,                   0,              0.3303,             0.17544,             0.14087,            0.032599,            0.066968,            0.016614,                   0,           0.0032731,           0.0032731,            0.070073
                   9,            0.056178,            0.017071,                   0,             0.62349,             0.17435,             0.19419,            0.065049,            0.060756,            0.016299,                   0,           0.0036241,           0.0036241,            0.066724
                  10,            0.055984,            0.015348,                   0,             0.85634,             0.15789,             0.20385,            0.040449,            0.065076,            0.015738,                   0,           0.0039706,           0.0039706,            0.063371
                  11,            0.053849,            0.015262,                   0,             0.44272,             0.25439,             0.19105,            0.040046,            0.065895,            0.014343,                   0,           0.0043121,           0.0043121,            0.060012
                  12,            0.054854,            0.015049,                   0,             0.45986,             0.28947,             0.31303,             0.13619,            0.059756,            0.015024,                   0,           0.0046483,           0.0046483,            0.056648
                  13,            0.051258,            0.015084,                   0,               0.448,             0.32456,             0.32354,             0.11368,            0.064058,            0.013369,                   0,           0.0049787,           0.0049787,            0.053279
                  14,            0.053606,            0.013729,                   0,             0.48704,             0.40351,             0.37904,             0.17267,            0.055305,            0.013933,                   0,           0.0053027,           0.0053027,            0.049903
                  15,            0.048892,            0.013527,                   0,             0.55518,             0.42982,             0.43211,             0.15422,            0.055823,            0.013109,                   0,           0.0056201,           0.0056201,             0.04652
                  16,            0.052766,            0.013149,                   0,             0.60563,             0.37718,             0.41725,             0.14836,            0.057777,            0.013085,                   0,           0.0059304,           0.0059304,             0.04313
                  17,            0.048704,            0.012101,                   0,              0.3981,             0.41193,             0.31678,            0.078306,            0.060777,            0.010782,                   0,           0.0062333,           0.0062333,            0.039733
                  18,            0.053126,            0.011423,                   0,             0.68534,             0.49677,             0.54145,             0.21203,            0.052926,            0.011947,                   0,           0.0065282,           0.0065282,            0.036328
                  19,            0.051044,            0.011474,                   0,             0.60956,             0.48246,             0.50159,             0.16895,            0.058388,            0.012081,                   0,            0.006815,            0.006815,            0.032915
                  20,            0.048189,            0.011678,                   0,             0.69132,             0.47368,             0.52553,             0.16297,            0.054939,            0.011136,                   0,           0.0070931,           0.0070931,            0.029493
                  21,            0.048237,            0.010876,                   0,             0.74978,             0.42056,             0.53888,              0.1477,             0.05275,            0.010394,                   0,           0.0073623,           0.0073623,            0.026062
                  22,            0.047945,            0.010667,                   0,             0.63469,             0.55263,             0.59311,             0.22157,            0.050744,            0.010195,                   0,           0.0076222,           0.0076222,            0.022622
                  23,            0.048325,           0.0099188,                   0,             0.53968,             0.53509,             0.53438,              0.1411,            0.062967,           0.0092248,                   0,           0.0078726,           0.0078726,            0.019173
                  24,            0.049895,            0.010156,                   0,             0.72909,             0.61381,             0.67259,             0.23183,            0.053306,            0.009871,                   0,           0.0081131,           0.0081131,            0.015713
